"","before","after"
"10086","KNEAD TO ESCAPE, INC.","KNEAD TO ESCAPE, INC."
"10087","KNESSET ADULT SOCIAL DAAY CARE,, IC.","KNESSET ADULT SOCIAL DAAY CARE,, IC."
"10088","KNICKERBOCKER CHEMISTS INC.","KNICKERBOCKER CHEMISTS INC."
"10089","KNICKERBOCKER DENTAL GROUP","KNICKERBOCKER DENTAL GROUP"
"10090","KNICKERBOCKER FAMILY DENTAL CENTER PC","KNICKERBOCKER FAMILY DENTAL CENTER PC"
"10091","KNICKERBOCKER MEDICAL CARE P.C.","KNICKERBOCKER MEDICAL CARE P.C."
"10092","KNIGHTON MENTAL HEALTH SERVICES","KNIGHTON MENTAL HEALTH SERVICES"
"10093","KNOWITALL MOMS","KNOWITALL MOMS"
"10094","KOA & KEONI MEDICAL PLLC","KOA & KEONI MEDICAL PLLC"
"10095","KOCH PHARMACY CORP","KOCH PHARMACY CORP"
"10096","KOCHIN MEDICAL PC","KOCHIN MEDICAL PC"
"10097","KOCHMAN, LEBOWITZ & MOGIL, MD'S, LLP","KOCHMAN, LEBOWITZ & MOGIL, MD'S, LLP"
"10098","KOFMAN MEDICAL SERVICES PC","KOFMAN MEDICAL SERVICES PC"
"10099","KOJO'S PEST ELIMINATION CO., LLC","KOJO'S PEST ELIMINATION CO., LLC"
"10100","KOKU GASINU PHYSICIAN P.C.","KOKU GASINU PHYSICIAN P.C."
"10101","KOLB RADIOLOGY P.C.","KOLB RADIOLOGY P.C."
"10102","KOLLMAN, MEYER O.D.","KOLLMAN, MEYER O.D."
"10103","KOLLOORI & KOLLOORI, PHYSICIANS, LLC","KOLLOORI & KOLLOORI, PHYSICIANS, LLC"
"10104","KONK PHARMACY INC","KONK PHARMACY INC"
"10105","KONSTANTINOS KOUTELOS, M.D. & IRINA KRYM PHYSICIAN, P.C.","KONSTANTINOS KOUTELOS, M.D. & IRINA KRYM PHYSICIAN, P.C."
"10106","KONSTANTINOS KOUTROS","KONSTANTINOS KOUTROS"
"10107","KONTOSNUTRITION INC.","KONTOSNUTRITION INC."
"10108","KOOROSH SHAMTOUB DDS PC","KOOROSH SHAMTOUB DDS PC"
"10109","KOR EAST 72ND STREET MEDICAL","KOR EAST 72ND STREET MEDICAL"
"10110","KORE OT & PT, PLLC","KORE OT & PT, PLLC"
"10111","KORONGENO MEDICAL, P.C.","KORONGENO MEDICAL, P.C."
"10112","KOSTAS A. KATSAVDAKIS, PHD, PC","KOSTAS A. KATSAVDAKIS, PHD, PC"
"10113","KOUFMAN MEDICINE OF NY, LLC","KOUFMAN MEDICINE OF NY, LLC"
"10114","KOULIS TENDER TOUCH OCCUPATIONAL THERAPY SERVICES PLLC","KOULIS TENDER TOUCH OCCUPATIONAL THERAPY SERVICES PLLC"
"10115","KRAMER PHARMACY INC","KRAMER PHARMACY INC"
"10116","KRAMER SMITH PSYCHOLOGY ASSOCIATES PC","KRAMER SMITH PSYCHOLOGY ASSOCIATES PC"
"10117","KRAUPNER PHARMACY, INC","KRAUPNER PHARMACY, INC"
"10118","KREATIVE KARE DAY CARE CENTER, INC.","KREATIVE KARE DAY CARE CENTER, INC."
"10119","KRI KHEM MEDICAL, PLLC","KRI KHEM MEDICAL, PLLC"
"10120","KRISHNA M MOHAN M.D.P.C.","KRISHNA M MOHAN M.D.P.C."
"10121","KRISHNAMMA INC.","KRISHNAMMA INC."
"10122","KRISHTUL MEDICAL GROUP, P.C.","KRISHTUL MEDICAL GROUP, P.C."
"10123","KRISTA AMMIRATI ARCHER, DPM, PC","KRISTA AMMIRATI ARCHER, DPM, PC"
"10124","KRISTEN HUGHES","KRISTEN HUGHES"
"10125","KRISTIN BEVILACQUA, MA, CCC-SLP, PLLC","KRISTIN BEVILACQUA, MA, CCC-SLP, PLLC"
"10126","KRISTIN M DAVIN, PSY.D, PC","KRISTIN M DAVIN, PSY.D, PC"
"10127","KRISTINA T TRAN DDS PC","KRISTINA T TRAN DDS PC"
"10128","KS DENTISTRY","KS DENTISTRY"
"10129","KS MEDICAL, PC","KS MEDICAL, PC"
"10130","KT SLP, PLLC","KT SLP, PLLC"
"10131","KTG OCCUPATIONAL THERAPY PC","KTG OCCUPATIONAL THERAPY PC"
"10132","KTV.INC","KTV.INC"
"10133","KUMAR SHAH MD","KUMAR SHAH MD"
"10134","KURT KODROFF MD PC","KURT KODROFF MD PC"
"10135","KWADWO BOAKYE PHYSICIAN, PC","KWADWO BOAKYE PHYSICIAN, PC"
"10136","KWOK-MAN LEE,M.D.,P.C.","KWOK-MAN LEE,M.D.,P.C."
"10137","KYLE KATO, M.D., MEDICAL PRACTICE, P.C.","KYLE KATO, M.D., MEDICAL PRACTICE, P.C."
"10138","KYUNG HEE ACUPUNCTURE P.C.","KYUNG HEE ACUPUNCTURE P.C."
"10139","KZARK MEDICAL P.C.","KZARK MEDICAL P.C."
"10140","L & S PHARMACY, INC","L & S PHARMACY, INC"
"10141","L & S PODIATRY, P.C.","L & S PODIATRY, P.C."
"10142","L & V PHARMACY INC","L & V PHARMACY INC"
"10143","L & Y CAR & LIMO SERVICE INC","L & Y CAR & LIMO SERVICE INC"
"10144","L A OPTICAL, INC","L A OPTICAL, INC"
"10145","L DENTAL PC","L DENTAL PC"
"10146","L I DENTISTRY AND SMILE DESIGN II, P.C.","L I DENTISTRY AND SMILE DESIGN II, P.C."
"10147","L M D PHARMACY INC","L M D PHARMACY INC"
"10148","L O PHYSICAL THERAPY P.C.","L O PHYSICAL THERAPY P.C."
"10149","L WHITE CONSULTING, LLC","L WHITE CONSULTING, LLC"
"10150","L-AL LIMOUSINE CORPORATION","L-AL LIMOUSINE CORPORATION"
"10151","L-M DIALYSIS CORPORATION","L-M DIALYSIS CORPORATION"
"10152","L.A.M. CARE, INC","L.A.M. CARE, INC"
"10153","L.DAREVSKAYA PEDIATRIC CENTER","L.DAREVSKAYA PEDIATRIC CENTER"
"10154","L.I.C. URGENT MEDICAL CARE P.C.","L.I.C. URGENT MEDICAL CARE P.C."
"10155","L.I.G. MEDICAL, P.C.","L.I.G. MEDICAL, P.C."
"10156","L.K. CHIROPRACTIC","L.K. CHIROPRACTIC"
"10157","L.S. SPEECH THERAPY PC","L.S. SPEECH THERAPY PC"
"10158","L'REFUAH MEDICAL & REHABILITATION CENTER, INC.","L'REFUAH MEDICAL & REHABILITATION CENTER, INC."
"10159","L'REFUAH MEDICAL AND REHABILITATION CENTER","L'REFUAH MEDICAL AND REHABILITATION CENTER"
"10160","L'REFUAH MEDICAL AND REHABILITATION CENTER, INC.","L'REFUAH MEDICAL AND REHABILITATION CENTER, INC."
"10161","L&M LAB CORP","L&M LAB CORP"
"10162","L&T NP IN FAMILY HEALTH PC","L&T NP IN FAMILY HEALTH PC"
"10163","L3 AGENCY","L3 AGENCY"
"10164","LA ALTAGRACIA PHARMACY INC","LA ALTAGRACIA PHARMACY INC"
"10165","LA BLEU OPTIQUE","LA BLEU OPTIQUE"
"10166","LA CASA DE SALUD INC.","LA CASA DE SALUD INC."
"10167","LA CHARME LLC","LA CHARME LLC"
"10168","LA FARMACIA LLC","LA FARMACIA LLC"
"10169","LA FE PHARMACY CORP.","LA FE PHARMACY CORP."
"10170","LA HISPANA ON BROADWAY PHARMACY LLC","LA HISPANA ON BROADWAY PHARMACY LLC"
"10171","LA RUCHE PHARMACY,INC","LA RUCHE PHARMACY,INC"
"10172","LA VIDA ADULT SOCIAL CARE CENTER, LLC","LA VIDA ADULT SOCIAL CARE CENTER, LLC"
"10173","LABI MEDICAL SUPPLY, INC","LABI MEDICAL SUPPLY, INC"
"10174","LACES OR VELCRO CORP.","LACES OR VELCRO CORP."
"10175","LACHER FOOTCARE PC","LACHER FOOTCARE PC"
"10176","LACONIA AVENUE PHARMACY CORP","LACONIA AVENUE PHARMACY CORP"
"10177","LACONIA NURSING HOME INC.","LACONIA NURSING HOME INC."
"10178","LACONIA NURSING HOMES","LACONIA NURSING HOMES"
"10179","LACROIX FAMILY CHIROPRACTIC","LACROIX FAMILY CHIROPRACTIC"
"10180","LACROSS DRUGS INC","LACROSS DRUGS INC"
"10181","LACTATION SERVICES OF NEW YORK, INC.","LACTATION SERVICES OF NEW YORK, INC."
"10182","LADA PHARMACY","LADA PHARMACY"
"10183","LADA PHARMACY INC.","LADA PHARMACY INC."
"10184","LADDER MEDICAL SUPPLY","LADDER MEDICAL SUPPLY"
"10185","LAFAYETTE FAMILY PHARMACY INC","LAFAYETTE FAMILY PHARMACY INC"
"10186","LAFAYETTE MEDICAL APPROACH LLC","LAFAYETTE MEDICAL APPROACH LLC"
"10187","LAFAYETTE MEDICAL OFFICE, PC","LAFAYETTE MEDICAL OFFICE, PC"
"10188","LAG MD SERVICES INC","LAG MD SERVICES INC"
"10189","LAGOS BIOFEEDBACK","LAGOS BIOFEEDBACK"
"10190","LAGRASS PHARMACY CORP","LAGRASS PHARMACY CORP"
"10191","LAGUARDIA PLACE PEDIACTRICS, PC","LAGUARDIA PLACE PEDIACTRICS, PC"
"10192","LAI LAW OCCUPATIONAL THERAPIST, PC","LAI LAW OCCUPATIONAL THERAPIST, PC"
"10193","LAILA FARHAT MD","LAILA FARHAT MD"
"10194","LAKELAND OPERATIONS LLC","LAKELAND OPERATIONS LLC"
"10195","LAKERIDGE ACRES NURSING & REHABILITATION CENTER LLC","LAKERIDGE ACRES NURSING & REHABILITATION CENTER LLC"
"10196","LAKEVIEW CARS INC","LAKEVIEW CARS INC"
"10197","LAKEVIEW SUBACUTE CARE CENTER INC","LAKEVIEW SUBACUTE CARE CENTER INC"
"10198","LAMD MEDICAL GROUP MULTISPECIALTY","LAMD MEDICAL GROUP MULTISPECIALTY"
"10199","LAMM INSTITUTE AT LICH","LAMM INSTITUTE AT LICH"
"10200","LAMO MEDICAL PC","LAMO MEDICAL PC"
"10201","LAN HE PHYSICIAN PC","LAN HE PHYSICIAN PC"
"10202","LAN MEDICAL SUPPLY INC.","LAN MEDICAL SUPPLY INC."
"10203","LAN-SHING ACUPUNCTURE, P.C.","LAN-SHING ACUPUNCTURE, P.C."
"10204","LANA BELL INC.","LANA BELL INC."
"10205","LANA GAITON PSYCHOLOGICAL SERVICES","LANA GAITON PSYCHOLOGICAL SERVICES"
"10206","LANA GAITON PSYCHOLOGICAL SERVICES, PC","LANA GAITON PSYCHOLOGICAL SERVICES, PC"
"10207","LANA KANG MD PC","LANA KANG MD PC"
"10208","LANCE GREIFF","LANCE GREIFF"
"10209","LANCE H BROWN MD PLLC","LANCE H BROWN MD PLLC"
"10210","LANDMAN MOSER PTR","LANDMAN MOSER PTR"
"10211","LANDMARK MEDICAL SUPPLIES, INC.","LANDMARK MEDICAL SUPPLIES, INC."
"10212","LANGUAGE CONNECTION SLP P.C.","LANGUAGE CONNECTION SLP P.C."
"10213","LANTERN COMMUNITY SERVICES, INC.","LANTERN COMMUNITY SERVICES, INC."
"10214","LAON ACUPUNCTURE PC","LAON ACUPUNCTURE PC"
"10215","LAPAROSCOPIC AND METABOLIC SURGERY, P.C.","LAPAROSCOPIC AND METABOLIC SURGERY, P.C."
"10216","LAPAROSCOPIC SURGICAL CENTER OF NEW YORK LLP","LAPAROSCOPIC SURGICAL CENTER OF NEW YORK LLP"
"10217","LARA J SPECIAL SERVICES CORPORATION","LARA J SPECIAL SERVICES CORPORATION"
"10218","LAREX MEDICAL SUPPLY LLC","LAREX MEDICAL SUPPLY LLC"
"10219","LARIM MEDICAL PC","LARIM MEDICAL PC"
"10220","LARIMAR FAMILY NP SERVICES, PLLC","LARIMAR FAMILY NP SERVICES, PLLC"
"10221","LARISA N. LIKVER, MEDICAL P.C.","LARISA N. LIKVER, MEDICAL P.C."
"10222","LARISA VEKSMAN D.O P.C","LARISA VEKSMAN D.O P.C"
"10223","LARISSA LEMPERT MD PROFESSIONAL CORPORATION","LARISSA LEMPERT MD PROFESSIONAL CORPORATION"
"10224","LARRY DIFABRIZIO MD PC","LARRY DIFABRIZIO MD PC"
"10225","LARRY SHEMEN, M.D., P.C.","LARRY SHEMEN, M.D., P.C."
"10226","LARRY TETSOTI MD LLC","LARRY TETSOTI MD LLC"
"10227","LASANTE HEALTH CENTER INC","LASANTE HEALTH CENTER INC"
"10228","LASER & MOHS SURGERY OF NEW YORK PLLC","LASER & MOHS SURGERY OF NEW YORK PLLC"
"10229","LASER AND CORNEAL SURGERY ASSOCIATES, PC","LASER AND CORNEAL SURGERY ASSOCIATES, PC"
"10230","LASER AND MICROSURGERY, PC","LASER AND MICROSURGERY, PC"
"10231","LASER AND VARICOSE VEIN TREATMENT CENTER OF STATEN ISLAND","LASER AND VARICOSE VEIN TREATMENT CENTER OF STATEN ISLAND"
"10232","LASER BREAST STANDARD CANCER SURGERY","LASER BREAST STANDARD CANCER SURGERY"
"10233","LASER SPINE & PAIN INSTITUTE LLC","LASER SPINE & PAIN INSTITUTE LLC"
"10234","LASIK OF NEW YORK PLLC","LASIK OF NEW YORK PLLC"
"10235","LATIFI MEDICAL, PLLC","LATIFI MEDICAL, PLLC"
"10236","LATINA MEDICAL OFFICE, P.C.","LATINA MEDICAL OFFICE, P.C."
"10237","LATO ASCIONE PHARMACY","LATO ASCIONE PHARMACY"
"10238","LATRENTA OFFICE BASED SURGERY PC","LATRENTA OFFICE BASED SURGERY PC"
"10239","LAURA ANN WILSON, MS ED, LLC","LAURA ANN WILSON, MS ED, LLC"
"10240","LAURA CORIO, M.D., PLLC","LAURA CORIO, M.D., PLLC"
"10241","LAURA COZZARELLI","LAURA COZZARELLI"
"10242","LAURA FONTAINE","LAURA FONTAINE"
"10243","LAURA M. MILES, PH.D., PSYCHOLOGIST, PC","LAURA M. MILES, PH.D., PSYCHOLOGIST, PC"
"10244","LAURA MARQUE","LAURA MARQUE"
"10245","LAUREN A. SMATT, DC, PLLC","LAUREN A. SMATT, DC, PLLC"
"10246","LAUREN ANTONUCCI, NUTRITIONIST & DIETITIAN, PC","LAUREN ANTONUCCI, NUTRITIONIST & DIETITIAN, PC"
"10247","LAUREN BRADLEY","LAUREN BRADLEY"
"10248","LAUREN MINCHEN NUTRITION","LAUREN MINCHEN NUTRITION"
"10249","LAUREN S. CARUSO PHD, PSYCHOLOGIST, PC","LAUREN S. CARUSO PHD, PSYCHOLOGIST, PC"
"10250","LAURENCE C. CHAMPAGNE DPM, P.C.","LAURENCE C. CHAMPAGNE DPM, P.C."
"10251","LAURENCE M TEPPER D.D.S.P.C.","LAURENCE M TEPPER D.D.S.P.C."
"10252","LAURENCE S HARRIS MDPC","LAURENCE S HARRIS MDPC"
"10253","LAURENCE T. D. SPERBER MDPC","LAURENCE T. D. SPERBER MDPC"
"10254","LAURI J ROMANZI, MD, PC","LAURI J ROMANZI, MD, PC"
"10255","LAURIE CASALE, INC.","LAURIE CASALE, INC."
"10256","LAURIE D GILKES LCSW PC","LAURIE D GILKES LCSW PC"
"10257","LAURIE R. MULLEN DC, PC","LAURIE R. MULLEN DC, PC"
"10258","LAURIE S LITWIN, DDS, PLLC","LAURIE S LITWIN, DDS, PLLC"
"10259","LAURUS CORP.","LAURUS CORP."
"10260","LAVELLE SCHOOL FOR THE BLIND","LAVELLE SCHOOL FOR THE BLIND"
"10261","LAWRENCE B COHEN MD, PC","LAWRENCE B COHEN MD, PC"
"10262","LAWRENCE BIRNBACH, PHD","LAWRENCE BIRNBACH, PHD"
"10263","LAWRENCE BLUM, M.D., P.C","LAWRENCE BLUM, M.D., P.C"
"10264","LAWRENCE C MILLER MD PC","LAWRENCE C MILLER MD PC"
"10265","LAWRENCE E STAM, MD, PC","LAWRENCE E STAM, MD, PC"
"10266","LAWRENCE FONTANA, M.D., P.C.","LAWRENCE FONTANA, M.D., P.C."
"10267","LAWRENCE J. DEUTSCH PHD.PC","LAWRENCE J. DEUTSCH PHD.PC"
"10268","LAWRENCE J. KESSLER, D.O","LAWRENCE J. KESSLER, D.O"
"10269","LAWRENCE KESSLER D.M.D.,PC","LAWRENCE KESSLER D.M.D.,PC"
"10270","LAWRENCE LEVITAN M D PLLC","LAWRENCE LEVITAN M D PLLC"
"10271","LAWRENCE M JACOBSON, M.D,","LAWRENCE M JACOBSON, M.D,"
"10272","LAWRENCE M KAMHI MD ANESTHESIA SERVICES PC","LAWRENCE M KAMHI MD ANESTHESIA SERVICES PC"
"10273","LAWRENCE M KAMHI MD ANESTHESIA SVS PC","LAWRENCE M KAMHI MD ANESTHESIA SVS PC"
"10274","LAWRENCE M KAMHI MD PC","LAWRENCE M KAMHI MD PC"
"10275","LAWRENCE NALITT","LAWRENCE NALITT"
"10276","LAWRENCE R. BLUM, M.D.","LAWRENCE R. BLUM, M.D."
"10277","LAWRENCE S. REED, MD, PC","LAWRENCE S. REED, MD, PC"
"10278","LAWRENCE SCHARER, MD PC","LAWRENCE SCHARER, MD PC"
"10279","LAWRENCE SHADEROWFSKY MD PC","LAWRENCE SHADEROWFSKY MD PC"
"10280","LAWRENCE SILVERBERG, CPM","LAWRENCE SILVERBERG, CPM"
"10281","LAWRENCE V. GULOTTA MD PC","LAWRENCE V. GULOTTA MD PC"
"10282","LAWRENCE WANG","LAWRENCE WANG"
"10283","LAWRENCE Y. LIANG MEDICAL PC","LAWRENCE Y. LIANG MEDICAL PC"
"10284","LAYLA ELIAS","LAYLA ELIAS"
"10285","LAYLA TOV URGENT CARE CENTER","LAYLA TOV URGENT CARE CENTER"
"10286","LAYTON MEDICAL, PC","LAYTON MEDICAL, PC"
"10287","LAZZARO EYE CENTER LLP","LAZZARO EYE CENTER LLP"
"10288","LB411","LB411"
"10289","LC OPTICAL","LC OPTICAL"
"10290","LC PHARMACY INC","LC PHARMACY INC"
"10291","LC WHITE LCSW COUNSELING SERVICES","LC WHITE LCSW COUNSELING SERVICES"
"10292","LCC NUTRITION GROUP, INC.","LCC NUTRITION GROUP, INC."
"10293","LCLJ OPTICAL CORP.","LCLJ OPTICAL CORP."
"10294","LCM HHA LLC","LCM HHA LLC"
"10295","LCM MANAGEMENT","LCM MANAGEMENT"
"10296","LCS PROSTHETICS","LCS PROSTHETICS"
"10297","LCSW CONSULTING PC","LCSW CONSULTING PC"
"10298","LCSW EVALUATIONS AND CLINICAL SOCIAL WORK, P.C.","LCSW EVALUATIONS AND CLINICAL SOCIAL WORK, P.C."
"10299","LCSW PEACE OF MIND PC","LCSW PEACE OF MIND PC"
"10300","LCSW PSYCHOTHERAPY, PC.","LCSW PSYCHOTHERAPY, PC."
"10301","LCSW SELF-ESTEEM THERAPY P.C.","LCSW SELF-ESTEEM THERAPY P.C."
"10302","LCT MEDICAL PC","LCT MEDICAL PC"
"10303","LDC DRUG CORP","LDC DRUG CORP"
"10304","LEA PLANZOS","LEA PLANZOS"
"10305","LEADING EDGE RADIATION ONCOLOGY SERVICES, PLLC","LEADING EDGE RADIATION ONCOLOGY SERVICES, PLLC"
"10306","LEAF DENTAL, P.C.","LEAF DENTAL, P.C."
"10307","LEAF MEDICAL, PLLC","LEAF MEDICAL, PLLC"
"10308","LEAGUE SCHOOL","LEAGUE SCHOOL"
"10309","LEAH B. AMIR INC.","LEAH B. AMIR INC."
"10310","LEAH KAUFMAN NUTRITION LLC","LEAH KAUFMAN NUTRITION LLC"
"10311","LEANNE DOMASH, PH.D., P.C.","LEANNE DOMASH, PH.D., P.C."
"10312","LEAP SPEECHWORKS SLP PC","LEAP SPEECHWORKS SLP PC"
"10313","LEAP YEARS SERVICES FOR CHILDREN","LEAP YEARS SERVICES FOR CHILDREN"
"10314","LEAPS & BOUNDS THERAPEUTIC SERVICES, INC.","LEAPS & BOUNDS THERAPEUTIC SERVICES, INC."
"10315","LEAPS AND BOUNDS PHYSICAL THERAPY","LEAPS AND BOUNDS PHYSICAL THERAPY"
"10316","LEAPS AND BOUNDS PT","LEAPS AND BOUNDS PT"
"10317","LEARNING FOR THE FUTURE CORP","LEARNING FOR THE FUTURE CORP"
"10318","LEBGUTT MEDICAL OF BROOKLYN PC","LEBGUTT MEDICAL OF BROOKLYN PC"
"10319","LEBGUTT OT PC","LEBGUTT OT PC"
"10320","LEDO MEDICAL REHABILITATION PLLC","LEDO MEDICAL REHABILITATION PLLC"
"10321","LEE & KONG, LLP","LEE & KONG, LLP"
"10322","LEE ANN M KLAUSNER MD PLLC","LEE ANN M KLAUSNER MD PLLC"
"10323","LEE GAUSE DDS PC","LEE GAUSE DDS PC"
"10324","LEE MARKOWITZ DPM PC","LEE MARKOWITZ DPM PC"
"10325","LEE MARKOWITZ, DPM, PC","LEE MARKOWITZ, DPM, PC"
"10326","LEE REHABILITATION OSTEOPATHIC MEDICINE, PLLC","LEE REHABILITATION OSTEOPATHIC MEDICINE, PLLC"
"10327","LEE SHECHTMAN,M.D.,P.C.","LEE SHECHTMAN,M.D.,P.C."
"10328","LEEBER COHEN MD PC","LEEBER COHEN MD PC"
"10329","LEENA PHYSICAL THERAPY PC","LEENA PHYSICAL THERAPY PC"
"10330","LEFFERTS PHARMACY INC","LEFFERTS PHARMACY INC"
"10331","LEFRA TRANSPORTATION INC","LEFRA TRANSPORTATION INC"
"10332","LEGAL AMBULETTE SERVICE INC.","LEGAL AMBULETTE SERVICE INC."
"10333","LEGEND REHABILITATION-ACUPUNCTURE & PHYSICAL THERAPY PC","LEGEND REHABILITATION-ACUPUNCTURE & PHYSICAL THERAPY PC"
"10334","LEGENDS CARE CENTER LLC","LEGENDS CARE CENTER LLC"
"10335","LEI FIFTH AVENUE ACUPUNCTURE PC","LEI FIFTH AVENUE ACUPUNCTURE PC"
"10336","LEIDE PORCU PHD PSYCHOANALYSIS PC","LEIDE PORCU PHD PSYCHOANALYSIS PC"
"10337","LEILANEI MARTIN LLC","LEILANEI MARTIN LLC"
"10338","LEISURE GARDENS SOCIAL ADULT DAY CARE","LEISURE GARDENS SOCIAL ADULT DAY CARE"
"10339","LEKHT MD PLLC","LEKHT MD PLLC"
"10340","LEMBERG HOME & GERIATRIC INSTITUTE INC.","LEMBERG HOME & GERIATRIC INSTITUTE INC."
"10341","LEMBERG'S PHARMACY INC.","LEMBERG'S PHARMACY INC."
"10342","LENA & KIDS INC.","LENA & KIDS INC."
"10343","LENA ADDO, INCORPORATED","LENA ADDO, INCORPORATED"
"10344","LENCO DIAGNOSTIC LABORATORIES,INC.","LENCO DIAGNOSTIC LABORATORIES,INC."
"10345","LENDA PHARMACY INC","LENDA PHARMACY INC"
"10346","LENIK DENTAL PC","LENIK DENTAL PC"
"10347","LENLAK INC","LENLAK INC"
"10348","LENNART C BELOK, M.D., P.C.","LENNART C BELOK, M.D., P.C."
"10349","LENNETTE J. BENJAMIN","LENNETTE J. BENJAMIN"
"10350","LENNOX TERRACE II LLC","LENNOX TERRACE II LLC"
"10351","LENORA S WINN LCSW PC","LENORA S WINN LCSW PC"
"10352","LENOX CAR SERVICE, INC.","LENOX CAR SERVICE, INC."
"10353","LENOX CARE PHYSICAL THERAPY SERVICES PLLC","LENOX CARE PHYSICAL THERAPY SERVICES PLLC"
"10354","LENOX DRUG CORP","LENOX DRUG CORP"
"10355","LENOX HILL AMBULATORY SURGERY PC","LENOX HILL AMBULATORY SURGERY PC"
"10356","LENOX HILL CARDIOLOGY ASSOCIATES","LENOX HILL CARDIOLOGY ASSOCIATES"
"10357","LENOX HILL GASTROENTEROLOGY, P.C.","LENOX HILL GASTROENTEROLOGY, P.C."
"10358","LENOX HILL HOSPITAL DEPARTMENT OF PHARMACY","LENOX HILL HOSPITAL DEPARTMENT OF PHARMACY"
"10359","LENOX HILL HOSPTIAL","LENOX HILL HOSPTIAL"
"10360","LENOX HILL MASSAGE AND PHYSICAL THERAPY PLLC","LENOX HILL MASSAGE AND PHYSICAL THERAPY PLLC"
"10361","LENOX HILL NEIGHBORHOOD HOUSE","LENOX HILL NEIGHBORHOOD HOUSE"
"10362","LENOX HILL PAIN MANAGEMENT AND SPINE PLLC","LENOX HILL PAIN MANAGEMENT AND SPINE PLLC"
"10363","LENOX HILL PHYSICAL AND MASSAGE THERAPY PLLC","LENOX HILL PHYSICAL AND MASSAGE THERAPY PLLC"
"10364","LENOX HILL SURGEONS, LLP","LENOX HILL SURGEONS, LLP"
"10365","LENOX HILL TMS PSYCHIATRIC ASSOCIATES PLLC","LENOX HILL TMS PSYCHIATRIC ASSOCIATES PLLC"
"10366","LENOX OTOLARYNGOLOGY HEAD AND NECK SURGERY, P.C.","LENOX OTOLARYNGOLOGY HEAD AND NECK SURGERY, P.C."
"10367","LENOX PHARMACY INC","LENOX PHARMACY INC"
"10368","LENOX REHABILITATION PT & OT PLLC","LENOX REHABILITATION PT & OT PLLC"
"10369","LENOX STAR PHARMACY INC.","LENOX STAR PHARMACY INC."
"10370","LENOXHILL PHARMACY INC","LENOXHILL PHARMACY INC"
"10371","LENS CENTER INC","LENS CENTER INC"
"10372","LENS LAB EXPRESS OF GRAHAM AVENUE INC","LENS LAB EXPRESS OF GRAHAM AVENUE INC"
"10373","LENS LAB OPTICAL","LENS LAB OPTICAL"
"10374","LENSCRAFTERS INC","LENSCRAFTERS INC"
"10375","LENSCUTTERS OPTICAL INC.","LENSCUTTERS OPTICAL INC."
"10376","LENSMASTERS II, INC.","LENSMASTERS II, INC."
"10377","LEO M. KEEGAN MD, PLLC","LEO M. KEEGAN MD, PLLC"
"10378","LEO STOROZUM PHD ET AL PTR FAMILY COUNSELING SERVICE","LEO STOROZUM PHD ET AL PTR FAMILY COUNSELING SERVICE"
"10379","LEON ALEKSANDROVICH MD PC","LEON ALEKSANDROVICH MD PC"
"10380","LEON KAVALER, M.D., P.C.","LEON KAVALER, M.D., P.C."
"10381","LEON MEDICAL CARE PC","LEON MEDICAL CARE PC"
"10382","LEONARD DEUTSCH MD PC","LEONARD DEUTSCH MD PC"
"10383","LEONARD GOLDBERG PSYCHOLOGIST PHD PC","LEONARD GOLDBERG PSYCHOLOGIST PHD PC"
"10384","LEONARD M. MATTES M.D., P.C.","LEONARD M. MATTES M.D., P.C."
"10385","LEONARD N MARINO DC PC","LEONARD N MARINO DC PC"
"10386","LEONARD OPTICIANS, LTD","LEONARD OPTICIANS, LTD"
"10387","LEONARD PLAINE MD PC","LEONARD PLAINE MD PC"
"10388","LEONAUM PHARMACY INC.","LEONAUM PHARMACY INC."
"10389","LEONID KOZER MEDICAL, P.C.","LEONID KOZER MEDICAL, P.C."
"10390","LEONID VOLFINZON MEDICAL P.C.","LEONID VOLFINZON MEDICAL P.C."
"10391","LEOPOLD ALLEN","LEOPOLD ALLEN"
"10392","LEOTILDE ACADEMY MULTI SERVICE INC","LEOTILDE ACADEMY MULTI SERVICE INC"
"10393","LERDS PHARMACY INC","LERDS PHARMACY INC"
"10394","LERIC PHARMACY CORP","LERIC PHARMACY CORP"
"10395","LERMAN SPEECH INC","LERMAN SPEECH INC"
"10396","LERNER & GAMSS","LERNER & GAMSS"
"10397","LERNER PHYSICAL THERAPY PLLC","LERNER PHYSICAL THERAPY PLLC"
"10398","LERNER PHYSICAL THERAPY, PLLC","LERNER PHYSICAL THERAPY, PLLC"
"10399","LEROY PHARMACY II LLC","LEROY PHARMACY II LLC"
"10400","LEROY'S PHARMACY CORP","LEROY'S PHARMACY CORP"
"10401","LES MAINS LLC","LES MAINS LLC"
"10402","LES MEDICAL SERVICES PC","LES MEDICAL SERVICES PC"
"10403","LESBIAN AND GAY COMMUNITY SERVICES CENTER, INC.","LESBIAN AND GAY COMMUNITY SERVICES CENTER, INC."
"10404","LESELL DRUGS INC.","LESELL DRUGS INC."
"10405","LESLIE F SEECOOMAR MD PC","LESLIE F SEECOOMAR MD PC"
"10406","LESLIE M SIMS MD PLLC","LESLIE M SIMS MD PLLC"
"10407","LET IT RIDE INC","LET IT RIDE INC"
"10408","LET'S SMILE DENTAL","LET'S SMILE DENTAL"
